text,images,videos,gender
"শোকের পরে শোক চলছে।
তোমার থেকে বড় সুপারস্টার আমার চোখে আর কেউ ছিলোনা, আর আসবেও না।
ব্যক্তি জীবনে তুমি আমার একমাত্র সুপারস্টার ছিলে যাকে আমি একবার হলেও সামনে থেকে দেখতে চেয়েছিলাম। … See more",['https://scontent.fdac157-1.fna.fbcdn.net/v/t1.6435-9/127190631_3779846778748112_4421320115450031152_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=rwq6twMDWwIQ7kNvgHvyHAC&_nc_ht=scontent.fdac157-1.fna&oh=00_AYAm3Uw3R6oncI0PhArfVVaq20SoaTOX0Jw9dnm0H4Ei7w&oe=66915035'],[],m
"শিশুদের অধিকারের প্রচার এবং দুর্বল শিশুদের সুরক্ষায় জড়িত একটি শিশুকে প্রতি বছর ""কিডস রাইটস ইন্টারন্যাশনাল চিলড্রেনস পিস প্রাইজ"" প্রদান করা হয়।
সাদাত ""সাইবার টিন্স"" নামে একটি অ্যাপ্লিকেশন চালু করেছিলেন, যেখানে সাইবার বুলিংয়ের শিকার ব্যক্তিরা তাদের মামলাগুলি রিপোর্ট করতে এবং সহায়তা পেতে পারেন। সাইবার টিন্সের সাথে তাঁর কাজ তাকে ৪২ টি দেশের ১৪২ জন মনোনীত দলের দলে দাঁড় করিয়েছে।
এ বছর নড়াইলের ১৭ বছর বয়সী সাদাত রহমানকে বিজয়ী করা হয়েছে!… See more",['https://scontent.fdac157-1.fna.fbcdn.net/v/t1.6435-9/124553387_3746015335464590_8739664284513846050_n.jpg?stp=dst-jpg_p526x296&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=gG5VgImCY_MQ7kNvgG4oz07&_nc_ht=scontent.fdac157-1.fna&oh=00_AYAY_gAV1tVpC9rgr88CG8B-LT7ryIauwc_zWEfGafEDtA&oe=6691482B'],[],m
"10th November, 2000: Our journey towards Test Cricket started.
8th November, 2001: My journey towards the love of the game started..... ","['https://scontent.fdac157-1.fna.fbcdn.net/v/t1.6435-9/124870171_3736317129767744_6777897348363270497_n.jpg?stp=dst-jpg_p526x395&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=F6ooDRmBBsUQ7kNvgGSRE4p&_nc_ht=scontent.fdac157-1.fna&oh=00_AYAHUHuh-m_0mDa6Q1xqUXvyFUYGpsNa1Ozg5hOQS16HPQ&oe=66915ACD', 'https://scontent.fdac157-1.fna.fbcdn.net/v/t1.6435-9/123916975_3736317123101078_41848957452910970_n.jpg?stp=dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Xjpz8bMTJEMQ7kNvgH2QQG0&_nc_ht=scontent.fdac157-1.fna&oh=00_AYBPBCA2Rrhi50IWhLGf_GkRtYA4fDAjbBQNgS2vMhpKkQ&oe=66913089']",[],m
"Rupayan City, the first city brand in Bangladesh, here reveals the unique revolution in living, namely Rupayan City Uttara! Reinvent with us the best location where everything you asked for meets to greet you readily. Are you ready? Book now,call 16504 or 01701223644. Don't forget to visit www.rupayancity.com for details.",[],['https://www.facebook.com/Official.Mashrafe/videos/988094868357608/?__cft__[0]=AZXoDn_7h5515X3IT-jXsM3CzmxEuE_IOCXcAwCz_dpgOlIDjf2Ui66iJ4eymm8NfEs292YlcGsFg4CYcFTU8cLaL9uIihy07KaqivxiTpWDyzzVGNqL8pCEKSyhny6WaxN_QBlAbdQDd4-O5QeQLA4XuYstTCj1F1YKOznxlPRggRiQiXNgRFAgOQwAAueTi5Bp2bYstc7YzjAYSn9__9VJ&__tn__=%2B%3FFH-R'],m
"I recommend #DrRhazesUltraProtectGel - it kills 99.9% bacteria and viruses*, protects hands and even surfaces for 2 hours non-stop! Now, seize the day 2 hours at a time!
Dr Rhazes Bangladesh
www.drrhazes.co",['https://scontent.fdac157-1.fna.fbcdn.net/v/t1.6435-9/120736832_3629178923814899_2962780592598948490_n.jpg?stp=dst-jpg_p526x296&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=TPY4odneMngQ7kNvgHJFyYE&_nc_ht=scontent.fdac157-1.fna&oh=00_AYB3zXUj3GwIj8hE8ALXszC5D7hfVd3n9JXxz8AeyYa9_A&oe=66916264'],[],m
"শুভ জন্মদিন.... 
বঙ্গবন্ধুর স্বপ্নের সোনার বাংলা বির্নিমানের কারিগর... 
মাননীয় প্রধানমন্ত্রী দেশরত্ন শেখ হাসিনা। 
আপনার সুস্বাস্থ্য ও দীর্ঘায়ু কামনা করি।… See more",['https://scontent.fdac157-1.fna.fbcdn.net/v/t1.6435-9/120127855_3609651132434345_4534632185459133745_n.jpg?stp=dst-jpg_p180x540&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=7UxdT1kLAo8Q7kNvgFw3bG5&_nc_ht=scontent.fdac157-1.fna&oh=00_AYAjcVNh0YHvxH3B4anBzFMduXTBilZhoS6tJzyNQjyuPw&oe=66914994'],[],m
Peace ,['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/420060339_932544074905022_7398211363014295377_n.jpg?stp=cp6_dst-jpg_p180x540&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=ofzX5gEnoRoQ7kNvgHWfUgz&_nc_ht=scontent.fdac157-1.fna&oh=00_AYBlcnh9eHCq2nJBcu7ho4w_ZgxNNYf17j5RyWKFdNbEBg&oe=666F901B'],[],m
"নতুন ভোরের আলোয় আলোকিত হবে নড়াইল।
আপনারা আমার সাথে ছিলেন বলে আমি আবারও আপনাদের সাথে থাকার সুযোগ পেয়েছি।
কৃতজ্ঞতা আপনাদের প্রতি, আপনারা আমাকে বিশ্বাস করেছেন।
জয় বাংলা, জয় বঙ্গবন্ধু । বাংলাদেশ চিরজীবী হোক...",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/416242592_925629378929825_4528375278029090703_n.jpg?stp=dst-jpg_s640x640&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=vLdgJqBg0RkQ7kNvgHrO7BX&_nc_ht=scontent.fdac157-1.fna&oh=00_AYB9zFgJWoCxayW7UJzot3NKxqycTUjLK3diplq5-Z--bA&oe=666FA333'],[],m
ধন্যবাদ নড়াইলবাসী। ,['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/415899350_925301272295969_6035960901701547508_n.jpg?stp=dst-jpg_p526x296&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=eIx0tzr5I9MQ7kNvgF0Q2Uu&_nc_ht=scontent.fdac157-1.fna&oh=00_AYAxua_adsjSddnOKaCim-M9OMt8Rz0lUgbIZvWqFdx9rg&oe=666F957C'],[],m
"নতুন বছরে নতুন শুরুর অপেক্ষায়
সাথে থাকুন, যেতে হবে বহুদূর...",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/415530012_922682902557806_5208361996150407802_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=yQcL510zARIQ7kNvgHUPSni&_nc_ht=scontent.fdac157-1.fna&oh=00_AYARUuMoVi3yZ1NSpmDVZXFOTfC1LdSEg5qewnCN8EHnDw&oe=666FA307'],[],m
"গত ৫ বছরে নড়াইলের (২) জন্য আমি কী করেছি, কী করতে পারিনি তার সবকিছু তুলে ধরার চেষ্টা করেছি। দেশের অন্যান্য জেলা থেকে অনেকাংশে পিছিয়ে পড়া এই জনপদকে কীভাবে সামনে এগিয়ে নেওয়া যায় তার সব রকম চেষ্টা ছিল, আছে এবং থাকবে। গত সময়ে আমি যা করতে পারিনি, আপনারা পাশে থাকলে সেসব করাও সম্ভব।
নড়াইল হবে প্রজন্মের শ্রেষ্ঠ বাসস্থান। জয় বাংলা-জয় বঙ্গবন্ধু...",[],['https://www.facebook.com/Official.Mashrafe/videos/906893970823528/?__cft__[0]=AZXsS6q4TohK-oHh3ItnXGJnIjIy27lSME8U2H9xcn5MxS2Xr4fah4N5WjN8TCPs883I7CciQ-5pwYdMWEFuB_ZYaaqcHGTq4WmbsX6flDXg556HfaLLfQYzLONuZdAsbmf7yS6F5CkCsnR49iSG0P5-1fqB3M3bKQgTaU5YpAZlAoeQTBVdRSqQHcVxCCx15J5Oh367JSz7aTzHa6TKTeq1&__tn__=%2B%3FFH-R'],m
"""মনে রেখো কেবল একজন ছিল, যে ভালোবাসতো শুধুই তোমাদের""",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/415490942_921872159305547_1850002217408174526_n.jpg?stp=dst-jpg_p526x296&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=vZIupbjY87AQ7kNvgE-4QN_&_nc_ht=scontent.fdac157-1.fna&oh=00_AYAMGkAFxYy1QUA05o9a8o42Ab2TCTVT-WLIJq4_zrpWDA&oe=666F9DD8'],[],m
"গতবারও আপনারা আমাকে নির্বাচিত করেছেন, আমি কোথাও গ্যাপ রাখিনি। আমি আমার সাধ্যমতো চেষ্টা করেছি। এবারও ইনশা আল্লাহ সেই চেষ্টাই থাকবে, যদি আপনারা আমাকে চান।",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/414689705_918157533010343_7185840437655830926_n.jpg?stp=dst-jpg_p526x296&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Ow90ILUHyzsQ7kNvgEnb4ZT&_nc_ht=scontent.fdac157-1.fna&oh=00_AYB56zLNi_FlKturSorz6a4u1U52ybVlP_Lg1q0UoCL93Q&oe=666FBD99'],[],m
"সবার দোয়ায় আবারও ফিরেছি আপনাদের মাঝে। আমাকে আপনাদের সাথে রাখবেন। 
নড়াইলকে যেন আপনাদের চাওয়ামতো গড়ে তুলতে পারি সেই চেষ্টাটাই থাকবে আমার। আমি আপনাদেরই সন্তান ।","['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/414008949_917168023109294_122941048595331426_n.jpg?stp=cp6_dst-jpg_p526x395&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=QXHIlcE_03MQ7kNvgHcA135&_nc_ht=scontent.fdac157-1.fna&oh=00_AYDrthTL2bA4G9Nnlsmk818CRB5uZAJwDdtwkzzGMsUDQg&oe=666FB16A', 'https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/414084416_917168079775955_8081512665933044204_n.jpg?stp=cp6_dst-jpg_p526x395&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=HIhaDpO8Uj8Q7kNvgGRzOEe&_nc_ht=scontent.fdac157-1.fna&oh=00_AYAvgrWZhFyDejVcnUSPKHbsxL8GpQAgaHIZ7wPywTx4Jw&oe=666FA1EC', 'https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/413982360_917168086442621_2009026717039240754_n.jpg?stp=cp6_dst-jpg_p526x395&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=by_iYraHHKsQ7kNvgHLTkU9&_nc_ht=scontent.fdac157-1.fna&oh=00_AYC8dJUbq8eMscRPU1fI20MToFfQ-EFce_luVMqqAP8ZPA&oe=666F9795', 'https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/414362876_917168109775952_7612416495877773304_n.jpg?stp=cp6_dst-jpg_p526x395&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=3KHU8ow3urQQ7kNvgEV6S7l&_nc_ht=scontent.fdac157-1.fna&oh=00_AYBHEKrDBzzOZMjm5NewfFZplVHr0GuVJ5-cwyi6niDACg&oe=666F9284', 'https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/414039445_917168029775960_2718849231922585264_n.jpg?stp=cp6_dst-jpg_p526x395&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=j4vcs6GX3dsQ7kNvgFydIa8&_nc_ht=scontent.fdac157-1.fna&oh=00_AYBmXOdciXk9qH3-X_VBmZU5bIg5ScEOV8MY6HdpxqrD3w&oe=666FC160']",[],m
"বাবা-মায়ের স্বপ্ন পূরন করেন, নিজের স্বপ্ন পূরণ করেন।",[],['https://www.facebook.com/Official.Mashrafe/videos/1856131741482224/?__cft__[0]=AZWQUtylmOFpOS7_OH-jkYWoF0wKtlVJCsYK97v9iEI77nA4N6aHD-lAXngAzq46KB37xoIcXiY7rt18IjNMp8cr5h9prFjgCma_IalvuIiUOSl6PFUZgbCQ8DwABulNadodM8Btsp5lDqstk7e7gpt3PU42wJ8YRxIwqZ7zUUNzd7WDzBcnm8UA-ufAC91wK-XWZStN7q4VgiP-ii6c9F56&__tn__=%2B%3FFH-R'],m
"দারুণ শুরু! 
জয়ের কোনো বিকল্প ছিল না।আফগানরা শুরুটা করেছিল দুর্দান্ত। কিন্তু সাকিব বারবারই বাংলাদেশকে ম্যাচে ফিরিয়ে এনেছে। মাঝখানে মিরাজের আঁটসাঁট বোলিংয়ে সাথে পেস বোলারদের কম্বিনেশনে একের পর এক উইকেট নিয়ে বাংলাদেশ খেলা নিজেদের হাতেই রেখেছে।সাকিবের বোলিং রোটেশন থেকে শুরু করে ফিল্ড প্লেসিং, এসবের সঙ্গে নিজের বোলিং প্রমাণ করে সে কতটা প্রো-অ্যাক্টিভ। মাঠের ভেতরে চাপের সময়টাতেই নিজের সেরাটা সবসময় বের করে আনে ও। 
মিরাজ বর্তমানে এই দলের সবচেয়ে বড় সম্পদ। দল তাকে যেভাবে চাচ্ছে, সে… See more",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/387172477_875129477313149_8980418368947543368_n.jpg?stp=dst-jpg_p526x296&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=VRljg4llLTsQ7kNvgEQr0H_&_nc_ht=scontent.fdac157-1.fna&oh=00_AYClrMAfOZQTOky28xPzTPKhQQZiJvfxgIT3gtoMdLhPLg&oe=666FAD9D'],[],m
Best of luck Bangladesh cricket team.,[],['https://www.facebook.com/Official.Mashrafe/videos/392165193141776/?__cft__[0]=AZUUym9aMRSxTt5kEf4rkxq-Bn6A8gbdqLoI2xH8SEEyv3c2NC1OMj__CLfmxbaxCNtYrm1LRrJC50I37LoLqnlI09iClUJ0fF7IFPROsKTJYPoEKo92vCn5x3fq38X-xtVwxs45IOWZezHDIiXW90Eiyaf_czD-XRfoa4btQIRf_iQ2Nyq47Q_UR6Goj5iygsvqor1Pu2hx-COI22FsxSnM&__tn__=%2B%3FFH-R'],m
"C’mon tigers. Show the world how good you are.  
To be continued at 6pm",[],['https://www.facebook.com/Official.Mashrafe/videos/266104429719533/?__cft__[0]=AZWfy8f6v79HNo3s0HA6T6CBuQNKlu53wPxyxaLUttgRtAFT7dWc39v25-zFtTGLwz-DmsKMaOBBqUQE4W5IFdKk5tjxbhRVQDuz6V3zqbUBUV9xTPUUlhbEfifi6grTJYH3ZfKuPB6O8PpMfcB3HC2TLC-P24FGnF5t0UkzKMyiW8murvoVXfrVgYAj6j5s-lj9abvJO9wSUmMKbNuOfRXB&__tn__=%2B%3FFH-R'],m
আমার চোখে এই মুহূর্তে সাকিব-তামিম।,[],['https://www.facebook.com/Official.Mashrafe/videos/1045839563099874/?__cft__[0]=AZUP8O5Er2zr3tyNYS1FA8DIDnbXqdzXM_f2x61aUfYL47yrd2-rS5C8msh8gesixofgYTk_PoLX4cIbUmv8miAF5QFM5NWwKMXs3vTuzL_dUGeO2rjUx7_dSz5GyEgYFq7rA58Dv4wSH94O0MYIuH8WGbojGeWtZakd3WoQFhOVE-VhMDAg4H7bQgnQ_QS8sAYqrmRSAkioAAi9UzuxsTXU&__tn__=%2B%3FFH-R'],m
"টুকরো টুকরো কাগজে উপচে পড়া ভালোবাসা  
ওরাই আমাদের ভবিষ্যৎ, ওরাই জাতির আশা।",[],['https://www.facebook.com/Official.Mashrafe/videos/2476252002541577/?__cft__[0]=AZVzb9XfRjFlDqnZYj9suCLQIeZ0kI3qUGXgsMn3_gcND4etWqWwfpmwJoaqpzLcL1QwUDhJiT0hxDWOiFQNMjbGvedPMh4K54o9sXtSCHBIlgkm1bQBK2bAZGTG-sagI5S_LhLU9Vv9O28aSTRKww-_SKQMvb4BF7GLL0cPPPIUECYLGCJFzBjdTr0K4XRVqbeKMHMVU7FrRzl0QPGbAGdc&__tn__=%2B%3FFH-R'],m
